rank,name,city_state,city,state,acceptance_rate,price,SAT_range,SAT_low,SAT_high,region
237,Gustavus Adolphus College,"Saint Peter, MN",Saint Peter,MN,71,26701,1080-1340,1080,1340,Plains
238,Muhlenberg College,"Allentown, PA",Allentown,PA,62,35152,1170-1350,1170,1350,Mid East
239,Lake Forest College,"Lake Forest, IL",Lake Forest,IL,58,26968,1020-1240,1020,1240,Great Lakes
240,Nova Southeastern University,"Fort Lauderdale, FL",Fort Lauderdale,FL,76,26317,1030-1240,1030,1240,Southeast
241,Liberty University,"Lynchburg, VA",Lynchburg,VA,50,28762,1040-1250,1040,1250,Southeast
242,Samford University,"Birmingham, AL",Birmingham,AL,84,31322,1060-1240,1060,1240,Southeast
243,Mercer University,"Macon, GA",Macon,GA,78,21693,1180-1340,1180,1340,Southeast
244,St. Bonaventure University,"Saint Bonaventure, NY",Saint Bonaventure,NY,76,23748,1030-1230,1030,1230,Mid East
245,Loyola University Chicago,"Chicago, IL",Chicago,IL,71,37731,1130-1330,1130,1330,Great Lakes
246,University of Oregon,"Eugene, OR",Eugene,OR,84,17646,1090-1290,1090,1290,Far West
247,Whitman College,"Walla Walla, WA",Walla Walla,WA,54,38989,1230-1430,1230,1430,Far West
248,Hallmark University,"San Antonio, TX",San Antonio,TX,41,9887,,,,Southwest
249,College of Saint Mary,"Omaha, NE",Omaha,NE,50,15128,,,,Plains
250,CUNY Baruch College,"New York, NY",New York,NY,41,3897,1170-1360,1170,1360,Mid East
