,rank,name,city_state,city,state,acceptance,price,SAT_range,SAT_low,SAT_high
71,72,University of Rochester,"Rochester, NY",Rochester,NY,35,36254.0,1330-1510,1330.0,1510.0
72,73,Grinnell College,"Grinnell, IA",Grinnell,IA,19,32091.0,1370-1540,1370.0,1540.0
73,74,Vassar College,"Poughkeepsie, NY",Poughkeepsie,NY,25,26028.0,1360-1520,1360.0,1520.0
74,75,Texas A&M University,"College Station, TX",College Station,TX,63,19906.0,1160-1380,1160.0,1380.0
75,76,University of California - San Diego,"La Jolla, CA",La Jolla,CA,37,15222.0,1270-1480,1270.0,1480.0
76,77,Carleton College,"Northfield, MN",Northfield,MN,21,30843.0,1330-1520,1330.0,1520.0
77,78,The Cooper Union for the Advancement of Science and Art,"New York, NY",New York,NY,18,25005.0,1330-1500,1330.0,1500.0
78,79,Purdue University,"West Lafayette, IN",West Lafayette,IN,67,12294.0,1170-1420,1170.0,1420.0
79,80,The Ohio State University,"Columbus, OH",Columbus,OH,68,18884.0,1210-1430,1210.0,1430.0
80,81,University of Richmond,"University Of Richmond, VA",University Of Richmond,VA,31,25700.0,1280-1460,1280.0,1460.0
81,82,Southern Methodist University,"Dallas, TX",Dallas,TX,53,41444.0,1250-1450,1250.0,1450.0
82,83,North Carolina State University,"Raleigh, NC",Raleigh,NC,46,14600.0,1230-1410,1230.0,1410.0
83,84,Macalester College,"Saint Paul, MN",Saint Paul,MN,39,35589.0,1280-1450,1280.0,1450.0
84,85,University of California - Davis,"Davis, CA",Davis,CA,46,17026.0,1160-1400,1160.0,1400.0
85,86,Smith College,"Northampton, MA",Northampton,MA,37,28422.0,1240-1470,1240.0,1470.0
86,87,Kenyon College,"Gambier, OH",Gambier,OH,37,40862.0,1280-1460,1280.0,1460.0
87,88,College of the Holy Cross,"Worcester, MA",Worcester,MA,38,32061.0,1290-1430,1290.0,1430.0
88,89,University of California - Santa Barbara,"Santa Barbara, CA",Santa Barbara,CA,37,17223.0,1230-1460,1230.0,1460.0
89,90,University of Pittsburgh,"Pittsburgh, PA",Pittsburgh,PA,64,22346.0,1250-1420,1250.0,1420.0
90,91,Pitzer College,"Claremont, CA",Claremont,CA,17,30095.0,1300-1450,1300.0,1450.0
91,92,University of Minnesota Twin Cities,"Minneapolis, MN",Minneapolis,MN,70,17729.0,1240-1460,1240.0,1460.0
92,93,Lafayette College,"Easton, PA",Easton,PA,36,28735.0,1250-1440,1250.0,1440.0
93,94,Bucknell University,"Lewisburg, PA",Lewisburg,PA,38,39359.0,1250-1430,1250.0,1430.0
94,95,George Washington University,"Washington, DC",Washington,DC,43,40308.0,1270-1450,1270.0,1450.0
95,96,Colorado School of Mines,"Golden, CO",Golden,CO,55,27675.0,1270-1440,1270.0,1440.0
96,97,University of South Florida,"Tampa, FL",Tampa,FL,49,10004.0,1160-1320,1160.0,1320.0
97,98,Brigham Young University,"Provo, UT",Provo,UT,69,13150.0,1200-1410,1200.0,1410.0
98,99,Trinity University,"San Antonio, TX",San Antonio,TX,34,31141.0,1250-1420,1250.0,1420.0
99,100,University of Maryland - College Park,"College Park, MD",College Park,MD,51,17643.0,1270-1480,1270.0,1480.0
100,101,Colorado College,"Colorado Springs, CO",Colorado Springs,CO,14,27319.0,,,
101,102,Scripps College,"Claremont, CA",Claremont,CA,35,40259.0,1320-1480,1320.0,1480.0
102,103,Michigan State University,"East Lansing, MI",East Lansing,MI,76,16655.0,1100-1300,1100.0,1300.0
103,104,Texas Christian University,"Fort Worth, TX",Fort Worth,TX,48,40220.0,1110-1320,1110.0,1320.0
104,105,Clemson University,"Clemson, SC",Clemson,SC,62,22935.0,1210-1390,1210.0,1390.0
105,106,Santa Clara University,"Santa Clara, CA",Santa Clara,CA,51,48284.0,1270-1450,1270.0,1450.0
106,107,Reed College,"Portland, OR",Portland,OR,42,33980.0,1320-1520,1320.0,1520.0
107,108,Skidmore College,"Saratoga Springs, NY",Saratoga Springs,NY,32,26995.0,1220-1400,1220.0,1400.0
108,109,Rose-Hulman Institute of Technology,"Terre Haute, IN",Terre Haute,IN,77,43606.0,1260-1460,1260.0,1460.0
109,110,Rensselaer Polytechnic Institute,"Troy, NY",Troy,NY,57,40661.0,1300-1500,1300.0,1500.0
110,111,Rutgers University–New Brunswick,"Piscataway, NJ",Piscataway,NJ,67,17835.0,1180-1410,1180.0,1410.0
111,112,Oklahoma State University,"Stillwater, OK",Stillwater,OK,67,14763.0,1020-1250,1020.0,1250.0
112,113,Indiana University - Bloomington,"Bloomington, IN",Bloomington,IN,80,13191.0,1120-1350,1120.0,1350.0
113,114,Michigan Technological University,"Houghton, MI",Houghton,MI,70,17356.0,1160-1350,1160.0,1350.0
114,115,University of Massachusetts Amherst,"Amherst, MA",Amherst,MA,65,22505.0,1200-1390,1200.0,1390.0
115,116,Pepperdine University,"Malibu, CA",Malibu,CA,42,46550.0,1200-1410,1200.0,1410.0
116,117,Bryn Mawr College,"Bryn Mawr, PA",Bryn Mawr,PA,38,37015.0,1310-1500,1310.0,1500.0
117,118,University of Central Florida,"Orlando, FL",Orlando,FL,45,11108.0,1160-1340,1160.0,1340.0
118,119,The University of Tulsa,"Tulsa, OK",Tulsa,OK,69,25333.0,1080-1330,1080.0,1330.0
